Shipment_ID,Order_ID,Customer_ID,Tracking_Number,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Shipping_Method,Origin_Country,Origin_City,Destination_Country,Destination_City,Weight_KG,Volume_CBM,Number_of_Packages,Shipping_Cost_USD,Customs_Value_USD,Customs_Duty_USD,Insurance_Value_USD,Total_Logistics_Cost_USD,Transit_Days_Estimated,Delay_Days,Carrier_Name,Handler_Employee_ID,Temperature_Controlled,Hazardous_Materials
SHP-0000015,ORD-0000015,CUST-00519,TRK-972571775,8/18/2020,8/28/2020,8/30/2020,Delivered,Sea Freight,Oman,Salalah,Qatar,Al Wakrah,7016.5,290.7085,53,5987.54,81099.45,8931.93,102.29,15021.76,10,2,GAC Logistics,EMP-00189,No,Yes
SHP-0000016,ORD-0000016,CUST-01140,TRK-482467932,11/17/2021,11/21/2021,11/19/2021,Delivered,Road Transport,Kuwait,Jahra,Qatar,Al Khor,1373.17,59.4241,29,4552.3,151330.47,16322.49,1425.4,22300.19,4,0,MSC Arabian,EMP-00044,No,Yes
SHP-0000017,ORD-0000017,CUST-00775,TRK-999135098,5/13/2024,5/24/2024,11/16/2022,In Transit,Sea Freight,Oman,Muscat,Saudi Arabia,Riyadh,41997.32,2894.3562,100,124347.87,2897519.48,117754.56,7516.26,249618.69,11,0,Gulf Logistics Partners,EMP-00129,No,No
SHP-0000018,ORD-0000018,CUST-00708,TRK-106000475,7/16/2019,7/17/2019,11/16/2022,Out for Delivery,Express Courier,UAE,Abu Dhabi,Qatar,Al Wakrah,253.43,2.8568,23,3281.83,15366.96,2002.41,61.41,5345.65,1,0,Kanoo Shipping,EMP-00246,Yes,Yes
SHP-0000019,ORD-0000019,CUST-01196,TRK-456755540,4/3/2020,4/11/2020,4/15/2020,Delivered,Sea Freight,UAE,Abu Dhabi,Kuwait,Salmiya,10765.81,315.1201,56,20049.93,131141.77,6123.44,167.84,26341.21,8,4,Middle East Freight Solutions,EMP-00085,No,No
SHP-0000020,ORD-0000020,CUST-00577,TRK-888758698,12/5/2025,12/11/2025,11/16/2022,At Warehouse,Sea Freight,Qatar,Al Khor,Qatar,Doha,9513.13,363.5694,98,15514.72,164184.4,0,810.92,16325.64,6,0,COSCO Shipping Gulf,EMP-00095,No,Yes
SHP-0000021,ORD-0000021,CUST-01079,TRK-879435827,5/16/2024,5/23/2024,5/25/2024,Delivered,Road Transport,Oman,Salalah,Saudi Arabia,Jeddah,32802.15,2624.4956,61,140768.22,6765337.3,45965.31,46475.68,233209.21,7,2,Evergreen Gulf Services,EMP-00119,Yes,No
SHP-0000022,ORD-0000022,CUST-01181,TRK-930687032,11/28/2022,12/2/2022,12/6/2022,Delivered,Road Transport,Kuwait,Salmiya,Kuwait,Salmiya,14197.36,207.5092,72,35432.64,52722.54,0,226.02,35658.66,4,4,COSCO Shipping Gulf,EMP-00079,Yes,No
SHP-0000024,ORD-0000024,CUST-01399,TRK-516681351,8/4/2023,8/8/2023,11/16/2022,In Transit,Air Freight,Kuwait,Ahmadi,Bahrain,Riffa,29341.39,1550.6614,82,269555.3,1392456.37,182992.99,10073.47,462621.76,4,0,MSC Arabian,EMP-00264,No,Yes
SHP-0000025,ORD-0000025,CUST-00051,TRK-414989317,4/13/2020,4/15/2020,11/16/2022,In Transit,Air Freight,Qatar,Doha,Kuwait,Jahra,2189.62,66.9204,84,24020,1200790.79,119347.85,4572.64,147940.49,2,0,Red Sea Transport,EMP-00198,No,No
SHP-0000026,ORD-0000026,CUST-00259,TRK-698170344,4/24/2021,4/28/2021,11/16/2022,At Warehouse,Air Freight,Qatar,Al Rayyan,Oman,Muscat,24686.03,509.2917,87,75943.36,906612.51,102071.07,8747.59,186762.02,4,0,FedEx Middle East,EMP-00267,No,No
SHP-0000027,ORD-0000027,CUST-01383,TRK-775075833,4/12/2021,4/17/2021,4/18/2021,Delivered,Air Freight,Kuwait,Kuwait City,Bahrain,Isa Town,42558.39,1247.7349,30,406158.14,1047539.53,2837.4,10081.23,419076.77,5,1,FedEx Middle East,EMP-00119,No,No
SHP-0000028,ORD-0000028,CUST-00133,TRK-275330358,3/9/2025,3/16/2025,11/16/2022,At Warehouse,Road Transport,UAE,Ajman,Saudi Arabia,Medina,35599.7,1561.798,72,154386.75,585959.46,76368.75,3031.58,233787.08,7,0,Red Sea Transport,EMP-00090,Yes,Yes
SHP-0000029,ORD-0000029,CUST-00330,TRK-634335129,4/28/2021,5/4/2021,5/9/2021,Delivered,Air Freight,Saudi Arabia,Medina,Saudi Arabia,Mecca,13494.3,861.2104,52,180396.9,3591560.57,0,19024.88,199421.78,6,5,UPS Arabia,EMP-00133,Yes,Yes
SHP-0000031,ORD-0000031,CUST-00038,TRK-905339064,7/23/2025,7/26/2025,11/16/2022,In Transit,Express Courier,Bahrain,Riffa,Qatar,Al Wakrah,40943.1,3773.6422,45,453882.02,20811615.19,2844623.28,76251.86,3374757.16,3,0,Hapag-Lloyd Gulf,EMP-00267,No,Yes
SHP-0000032,ORD-0000032,CUST-01285,TRK-446887299,11/25/2024,11/27/2024,11/29/2024,Delivered,Express Courier,UAE,Dubai,UAE,Ras Al Khaimah,5996.75,262.4692,43,138175.03,3570961.13,0,15036.26,153211.29,2,2,Gulf Logistics Partners,EMP-00080,Yes,Yes
SHP-0000033,ORD-0000033,CUST-00269,TRK-209234660,4/27/2020,5/3/2020,11/16/2022,In Transit,Sea Freight,Qatar,Lusail,Qatar,Doha,1428.68,42.2899,96,4060.01,104410.92,0,541,4601.01,6,0,DHL Gulf,EMP-00267,Yes,No
SHP-0000034,ORD-0000034,CUST-00345,TRK-619481506,5/13/2025,5/25/2025,5/29/2025,Delivered,Sea Freight,Bahrain,Muharraq,Kuwait,Kuwait City,29017.78,1642.813,15,32011.41,755383.39,81532.42,5004.03,118547.86,12,4,DHL Gulf,EMP-00246,Yes,No
SHP-0000035,ORD-0000035,CUST-00639,TRK-343884164,5/30/2023,6/9/2023,11/16/2022,In Transit,Sea Freight,Oman,Nizwa,Qatar,Al Rayyan,42697.65,1431.3292,30,77404.18,1877688.29,216822.67,6327.53,300554.38,10,0,GAC Logistics,EMP-00288,No,No
SHP-0000036,ORD-0000036,CUST-01125,TRK-631723724,3/27/2022,4/1/2022,4/2/2022,Delivered,Air Freight,Qatar,Doha,Saudi Arabia,Medina,29078.07,1687.416,6,249936.5,2274760.02,132430.32,19513.94,401880.76,5,1,DHL Gulf,EMP-00281,No,No
SHP-0000037,ORD-0000037,CUST-00189,TRK-953639728,8/17/2022,8/20/2022,8/21/2022,Delivered,Express Courier,Saudi Arabia,Jeddah,Kuwait,Kuwait City,20593.5,518.8096,13,198167.24,3841642.36,324845.38,22558.38,545571,3,1,Evergreen Gulf Services,EMP-00281,No,No
SHP-0000038,ORD-0000038,CUST-01055,TRK-998963706,12/13/2019,12/20/2019,11/16/2022,At Customs,Air Freight,Oman,Sur,Saudi Arabia,Medina,21711.21,1060.3142,10,137162.81,3398888.32,33099.42,4343.86,174606.09,7,0,Desert Express Logistics,EMP-00208,Yes,Yes
SHP-0000039,ORD-0000039,CUST-00254,TRK-363583240,7/2/2024,7/8/2024,7/11/2024,Delivered,Express Courier,Kuwait,Ahmadi,UAE,Dubai,2154.81,97.3185,64,31725.46,1130650.64,106343.18,5847.75,143916.39,6,3,DHL Gulf,EMP-00217,No,Yes
SHP-0000040,ORD-0000040,CUST-00930,TRK-241510418,7/26/2025,8/3/2025,8/7/2025,Delivered,Road Transport,Qatar,Al Wakrah,Bahrain,Hamad Town,46145.36,2968.1505,58,227004.56,3395427.99,491929.61,12339.03,731273.2,8,4,Desert Express Logistics,EMP-00148,No,Yes
SHP-0000041,ORD-0000041,CUST-01339,TRK-438600108,1/7/2020,1/16/2020,11/16/2022,Lost,Sea Freight,UAE,Fujairah,Oman,Muscat,5722.56,340.6364,49,4955.02,10065.18,621.29,62.61,5638.92,9,0,UPS Arabia,EMP-00268,Yes,No
SHP-0000042,ORD-0000042,CUST-00611,TRK-454228565,11/14/2024,11/20/2024,11/20/2024,Delivered,Air Freight,UAE,Dubai,UAE,Fujairah,9903.84,514.9981,76,90434.47,3749940.33,0,25751.5,116185.97,6,0,Hapag-Lloyd Gulf,EMP-00080,Yes,No
SHP-0000043,ORD-0000043,CUST-00645,TRK-855542854,3/12/2022,3/19/2022,3/24/2022,Delivered,Road Transport,Bahrain,Muharraq,UAE,Fujairah,26117.88,1403.4437,3,41098.03,1944091.88,112043.4,9188.08,162329.51,7,5,Hapag-Lloyd Gulf,EMP-00288,No,Yes
SHP-0000044,ORD-0000044,CUST-00834,TRK-325404489,1/16/2023,1/26/2023,11/16/2022,At Customs,Sea Freight,Qatar,Al Rayyan,Oman,Sohar,27793.29,1041.6901,78,25042.95,489247.2,2390.3,3994.53,31427.78,10,0,UPS Arabia,EMP-00286,Yes,No
SHP-0000045,ORD-0000045,CUST-01470,TRK-491550511,2/10/2020,2/16/2020,11/16/2022,In Transit,Express Courier,Bahrain,Hamad Town,Bahrain,Muharraq,3010.01,31.6682,79,61219.06,2539667.39,0,2820.18,64039.24,6,0,Kanoo Shipping,EMP-00287,Yes,No
SHP-0000046,ORD-0000046,CUST-00529,TRK-278677515,4/11/2023,4/13/2023,4/13/2023,Delivered,Air Freight,Saudi Arabia,Mecca,Saudi Arabia,Riyadh,18885.11,480.5294,73,120493.36,230511.46,0,1348.88,121842.24,2,0,FedEx Middle East,EMP-00217,No,No
SHP-0000047,ORD-0000047,CUST-00908,TRK-573562567,12/3/2025,12/7/2025,12/12/2025,Delivered,Road Transport,Kuwait,Jahra,UAE,Dubai,22305.9,1802.6596,91,109528.04,5466784.35,308159.66,18464.61,436152.31,4,5,Evergreen Gulf Services,EMP-00085,Yes,Yes
SHP-0000048,ORD-0000048,CUST-01134,TRK-820355215,3/5/2024,3/8/2024,11/16/2022,In Transit,Road Transport,Saudi Arabia,Jubail,Kuwait,Salmiya,26415.05,1916.8339,70,66488.58,2950691.08,279372.59,27824.62,373685.79,3,0,Maersk Gulf,EMP-00085,Yes,Yes
SHP-0000049,ORD-0000049,CUST-01016,TRK-632580665,7/8/2022,7/11/2022,7/12/2022,Delivered,Express Courier,Qatar,Lusail,Qatar,Lusail,24931.9,1411.9912,57,218668.68,2412033.27,0,11716.35,230385.03,3,1,Hapag-Lloyd Gulf,EMP-00298,Yes,No
SHP-0000050,ORD-0000050,CUST-00113,TRK-878015618,11/17/2024,11/28/2024,11/16/2022,In Transit,Sea Freight,Kuwait,Hawalli,Bahrain,Hamad Town,8659.95,335.0099,22,12027.72,353122.62,40258.55,3070.14,55356.41,11,0,Hapag-Lloyd Gulf,EMP-00205,Yes,No
SHP-0000051,ORD-0000051,CUST-00586,TRK-281800510,5/11/2025,5/15/2025,11/16/2022,Delayed,Air Freight,Bahrain,Manama,Kuwait,Hawalli,34794.33,1633.9264,64,509127.49,5629297.89,471335.79,27547.23,1008010.51,4,9,Evergreen Gulf Services,EMP-00032,No,No
SHP-0000052,ORD-0000052,CUST-01358,TRK-350213659,2/10/2019,2/17/2019,2/21/2019,Delivered,Air Freight,Saudi Arabia,Khobar,UAE,Dubai,36383.74,1586.7205,62,333534.2,13501109.82,1289999.29,128817.93,1752351.42,7,4,FedEx Middle East,EMP-00281,Yes,Yes
SHP-0000053,ORD-0000053,CUST-00883,TRK-439326800,6/15/2025,6/22/2025,11/16/2022,Lost,Air Freight,Bahrain,Riffa,Qatar,Lusail,6934.93,548.4559,57,37225.16,69847.23,3789.2,138.3,41152.66,7,0,CMA CGM Middle East,EMP-00208,No,No
SHP-0000054,ORD-0000054,CUST-01202,TRK-465163331,2/1/2023,2/5/2023,11/16/2022,In Transit,Road Transport,Qatar,Doha,Bahrain,Hamad Town,34148.88,1089.1971,29,108759.58,2677776.25,182559.57,25190.16,316509.31,4,0,Hapag-Lloyd Gulf,EMP-00264,No,No
SHP-0000056,ORD-0000056,CUST-01404,TRK-686068149,9/21/2020,9/26/2020,9/26/2020,Delivered,Air Freight,Kuwait,Hawalli,Qatar,Al Khor,48464.2,2620.2462,48,639199.75,12012602.24,1089488.73,103252.79,1831941.27,5,0,Maersk Gulf,EMP-00255,Yes,Yes
SHP-0000057,ORD-0000057,CUST-01214,TRK-494590733,7/5/2025,7/8/2025,11/16/2022,At Customs,Express Courier,Kuwait,Kuwait City,Bahrain,Manama,4826.83,285.1257,65,118829.67,4733143.92,216388.81,17203.25,352421.73,3,0,Al Futtaim Logistics,EMP-00281,No,Yes
SHP-0000058,ORD-0000058,CUST-00440,TRK-613469189,11/14/2024,11/19/2024,11/16/2022,At Warehouse,Express Courier,Saudi Arabia,Khobar,Kuwait,Salmiya,7102.07,554.6161,93,132188.99,5118977.11,615246.52,37312.12,784747.63,5,0,FedEx Middle East,EMP-00298,Yes,Yes
SHP-0000059,ORD-0000059,CUST-01423,TRK-852236114,8/13/2022,8/17/2022,8/18/2022,Delivered,Road Transport,Qatar,Al Khor,Bahrain,Muharraq,37045.5,2973.1071,54,42131.27,1312942.99,15663.02,4104.89,61899.18,4,1,Agility Logistics,EMP-00268,Yes,Yes
SHP-0000060,ORD-0000060,CUST-01493,TRK-376789353,6/24/2023,6/27/2023,6/26/2023,Delivered,Express Courier,Qatar,Al Wakrah,Oman,Muscat,27895.94,1945.119,100,434590.17,3329976.09,140119.89,15161.1,589871.16,3,0,Middle East Freight Solutions,EMP-00095,Yes,Yes
SHP-0000061,ORD-0000061,CUST-00878,TRK-102628312,11/6/2025,11/12/2025,11/16/2022,In Transit,Air Freight,Qatar,Al Khor,Bahrain,Manama,36951.06,932.2967,10,517352.8,3535567.81,296825.18,17506.84,831684.82,6,0,Middle East Freight Solutions,EMP-00286,No,Yes
SHP-0000062,ORD-0000062,CUST-00861,TRK-707585385,8/26/2019,8/29/2019,8/28/2019,Delivered,Road Transport,Bahrain,Hamad Town,Qatar,Al Rayyan,43416.07,3967.7769,88,99379.65,3267157.14,236803.02,24215.88,360398.55,3,0,Gulf Logistics Partners,EMP-00287,No,No
SHP-0000063,ORD-0000063,CUST-01368,TRK-646702855,5/19/2020,5/20/2020,11/16/2022,At Customs,Express Courier,Kuwait,Kuwait City,Kuwait,Salmiya,29011.61,418.7557,21,233233.01,11051515.64,0,84791.1,318024.11,1,0,Evergreen Gulf Services,EMP-00298,No,No
SHP-0000064,ORD-0000064,CUST-01083,TRK-457210935,8/10/2025,8/19/2025,11/16/2022,At Warehouse,Sea Freight,UAE,Fujairah,Oman,Sohar,36693.08,1220.0522,56,81875.15,1906591.37,136694.76,9620.72,228190.63,9,0,DHL Gulf,EMP-00079,No,No
SHP-0000065,ORD-0000065,CUST-00131,TRK-707970222,5/31/2022,6/4/2022,6/3/2022,Delivered,Air Freight,UAE,Ajman,UAE,Abu Dhabi,48385.91,302.8413,2,449928.9,19504343.34,0,20978.44,470907.34,4,0,Kanoo Shipping,EMP-00267,Yes,No
SHP-0000066,ORD-0000066,CUST-00948,TRK-408513648,6/19/2020,6/25/2020,6/25/2020,Delivered,Air Freight,Bahrain,Isa Town,Saudi Arabia,Medina,19979.73,1971.8272,71,229091.99,6445665.96,903417.15,48653.93,1181163.07,6,0,Arabian Shipping Co.,EMP-00090,Yes,No
SHP-0000067,ORD-0000067,CUST-01357,TRK-244875722,12/11/2025,12/16/2025,12/17/2025,Delivered,Air Freight,Kuwait,Jahra,Bahrain,Riffa,12.28,1.1721,5,159.12,1804.43,40.38,0,199.5,5,1,Hapag-Lloyd Gulf,EMP-00208,No,No
SHP-0000068,ORD-0000068,CUST-00718,TRK-429310821,7/17/2021,7/21/2021,11/16/2022,At Customs,Air Freight,Oman,Salalah,UAE,Ajman,23555.69,316.1905,23,88810.44,3295173.49,133815.91,26956.29,249582.64,4,0,Arabian Shipping Co.,EMP-00080,No,No
SHP-0000069,ORD-0000069,CUST-00195,TRK-218229794,11/30/2021,12/10/2021,12/13/2021,Delivered,Sea Freight,Kuwait,Salmiya,Oman,Salalah,41949.22,532.9297,17,83833.57,2734528.61,135078.1,5581.75,224493.42,10,3,COSCO Shipping Gulf,EMP-00255,Yes,No
SHP-0000070,ORD-0000070,CUST-00904,TRK-401284276,10/30/2025,11/3/2025,11/4/2025,Delivered,Air Freight,Saudi Arabia,Jubail,Oman,Sohar,15500.51,54.6626,99,127057.52,1277675.6,122006.73,1845.8,250910.05,4,1,GAC Logistics,EMP-00179,No,No
SHP-0000071,ORD-0000071,CUST-01488,TRK-377509575,10/23/2025,10/28/2025,10/26/2025,Delivered,Air Freight,Qatar,Al Rayyan,Bahrain,Riffa,17003.28,1397.7759,31,71147.18,2487023.48,89764.92,8698.61,169610.71,5,0,Pearl Harbor Freight,EMP-00169,Yes,No
SHP-0000073,ORD-0000073,CUST-00893,TRK-186184005,5/6/2025,5/10/2025,11/16/2022,At Warehouse,Road Transport,Qatar,Al Rayyan,Saudi Arabia,Taif,18077.18,292.8528,56,23893.12,373150.69,833.53,2899.07,27625.72,4,0,Aramex,EMP-00032,Yes,Yes
SHP-0000074,ORD-0000074,CUST-00835,TRK-743747909,5/9/2025,5/21/2025,11/16/2022,Lost,Sea Freight,Kuwait,Kuwait City,UAE,Sharjah,24116.15,590.7947,91,67578.06,1739835.51,178635.68,16437.12,262650.86,12,0,DHL Gulf,EMP-00137,No,No
SHP-0000075,ORD-0000075,CUST-00815,TRK-231603737,8/25/2024,8/27/2024,11/16/2022,At Warehouse,Express Courier,Oman,Salalah,UAE,Fujairah,49405.93,3072.1144,13,721926.29,33378626.11,4677887.34,127114.23,5526927.86,2,0,Al Futtaim Logistics,EMP-00085,Yes,Yes
SHP-0000076,ORD-0000076,CUST-00644,TRK-737286415,1/30/2024,2/8/2024,11/16/2022,At Customs,Rail Freight,Qatar,Al Rayyan,Kuwait,Kuwait City,17792.8,749.9182,82,20473.79,940285.76,19433.34,1099.82,41006.95,9,0,Middle East Freight Solutions,EMP-00267,Yes,No
SHP-0000077,ORD-0000077,CUST-00418,TRK-295201140,10/13/2023,10/18/2023,11/16/2022,At Customs,Air Freight,Oman,Salalah,Kuwait,Salmiya,33031.48,2986.1479,100,228273.48,8328653.1,1181634.16,79217.51,1489125.15,5,0,Desert Express Logistics,EMP-00059,No,Yes
SHP-0000078,ORD-0000078,CUST-00494,TRK-931088845,2/6/2025,2/10/2025,2/9/2025,Delivered,Sea Freight,Qatar,Al Wakrah,Qatar,Al Khor,7151.39,389.57,75,18236.37,358776.57,0,1094.09,19330.46,4,0,UPS Arabia,EMP-00287,Yes,No
SHP-0000079,ORD-0000079,CUST-00809,TRK-202920629,12/18/2024,12/23/2024,12/21/2024,Delivered,Air Freight,Bahrain,Manama,Oman,Sohar,22873.16,1230.2542,72,167270.16,7470857.17,897727.47,67275.36,1132272.99,5,0,Kanoo Shipping,EMP-00059,Yes,No
SHP-0000080,ORD-0000080,CUST-00708,TRK-768668495,11/23/2025,11/29/2025,11/30/2025,Delivered,Air Freight,UAE,Ajman,Qatar,Al Wakrah,7490.92,459.0049,4,59353.31,239765.23,30081.19,981.38,90415.88,6,1,Agility Logistics,EMP-00169,Yes,Yes
SHP-0000081,ORD-0000081,CUST-00899,TRK-465558965,5/5/2021,5/14/2021,5/13/2021,Delivered,Sea Freight,Bahrain,Manama,Qatar,Al Rayyan,24615.12,145.3513,67,26415.3,1202414.92,87196.56,5418.36,119030.22,9,0,MSC Arabian,EMP-00298,Yes,Yes
SHP-0000082,ORD-0000082,CUST-00797,TRK-304347201,12/5/2022,12/8/2022,11/16/2022,In Transit,Road Transport,Bahrain,Riffa,Bahrain,Isa Town,29592.88,1235.8477,91,49708.41,2482563.97,0,10257.31,59965.72,3,0,MSC Arabian,EMP-00286,Yes,Yes
SHP-0000083,ORD-0000083,CUST-01084,TRK-111502209,7/15/2021,7/27/2021,7/26/2021,Delivered,Sea Freight,Bahrain,Muharraq,Qatar,Lusail,42749.6,618.0192,66,63225.32,394212.15,20570.31,3501.68,87297.31,12,0,FedEx Middle East,EMP-00205,Yes,No
SHP-0000084,ORD-0000084,CUST-00150,TRK-582593240,9/15/2023,9/19/2023,9/19/2023,Delivered,Air Freight,Kuwait,Hawalli,Saudi Arabia,Khobar,30087.28,1465.4825,90,383113.15,3971126.31,482726.85,25858.84,891698.84,4,0,Middle East Freight Solutions,EMP-00217,No,No
SHP-0000085,ORD-0000085,CUST-00862,TRK-725328496,9/13/2020,9/20/2020,9/24/2020,Delivered,Sea Freight,Qatar,Al Rayyan,UAE,Abu Dhabi,23958.19,1192.1348,44,46806.48,1522849.2,211748.83,8141.21,266696.52,7,4,Evergreen Gulf Services,EMP-00179,Yes,Yes
SHP-0000086,ORD-0000086,CUST-01283,TRK-529199467,10/13/2022,10/20/2022,10/20/2022,Delivered,Sea Freight,Qatar,Al Wakrah,Saudi Arabia,Dammam,33734.76,608.6217,73,95114.8,150733.13,11280.86,324.46,106720.12,7,0,Pearl Harbor Freight,EMP-00287,Yes,No
SHP-0000087,ORD-0000087,CUST-00001,TRK-609941247,6/23/2025,7/1/2025,11/16/2022,Delayed,Road Transport,UAE,Ajman,Saudi Arabia,Dammam,27587.39,1164.9135,56,99225.03,4121240.66,213227.71,38051.66,350504.4,8,29,Maersk Gulf,EMP-00255,Yes,Yes
SHP-0000088,ORD-0000088,CUST-00418,TRK-447039922,10/18/2019,10/26/2019,11/16/2022,In Transit,Road Transport,Oman,Salalah,Kuwait,Salmiya,8730.35,40.5101,25,22439.29,34718.33,5115.58,141.74,27696.61,8,0,Agility Logistics,EMP-00080,Yes,Yes
SHP-0000089,ORD-0000089,CUST-00477,TRK-777523739,9/30/2021,10/7/2021,10/12/2021,Delivered,Road Transport,UAE,Abu Dhabi,Saudi Arabia,Medina,20542.01,1104.7861,13,95757.53,4490118.24,127388.63,31688.37,254834.53,7,5,Desert Express Logistics,EMP-00169,Yes,No
SHP-0000090,ORD-0000090,CUST-00827,TRK-278139499,9/5/2022,9/8/2022,11/16/2022,In Transit,Express Courier,Oman,Nizwa,Kuwait,Jahra,26976.82,1925.8333,85,154605.41,1372834.4,14336.52,13029.06,181970.99,3,0,UPS Arabia,EMP-00148,Yes,Yes
SHP-0000091,ORD-0000091,CUST-01210,TRK-323752128,3/8/2023,3/12/2023,11/16/2022,At Customs,Express Courier,Saudi Arabia,Riyadh,Qatar,Doha,6225.94,561.4354,61,111778.25,3399971.91,118704.73,24367.61,254850.59,4,0,MSC Arabian,EMP-00286,Yes,No
SHP-0000092,ORD-0000092,CUST-01349,TRK-769827656,4/7/2022,4/10/2022,4/8/2022,Delivered,Express Courier,UAE,Sharjah,Oman,Sur,21352.74,1797.1827,64,431588.36,3148743.14,341865.2,27890.18,801343.74,3,0,MSC Arabian,EMP-00006,Yes,Yes
SHP-0000093,ORD-0000093,CUST-00558,TRK-334279733,12/10/2020,12/18/2020,11/16/2022,In Transit,Sea Freight,Bahrain,Hamad Town,Oman,Nizwa,30814.06,2027.9804,92,16068.25,247410.06,31157.88,1999.82,49225.95,8,0,Gulf Logistics Partners,EMP-00095,Yes,Yes
SHP-0000094,ORD-0000094,CUST-00925,TRK-296005402,8/9/2023,8/14/2023,8/15/2023,Delivered,Air Freight,Qatar,Al Rayyan,Bahrain,Hamad Town,19093.92,1784.335,95,125670.3,5887357.27,227193.79,39887.28,392751.37,5,1,FedEx Middle East,EMP-00246,No,No
