Order_ID,Order_Date,Customer_ID,Customer_Type,Country,City,Product_Category,Product_Name,Quantity,Unit_Price_USD,Subtotal_USD,Discount_Percent,Discount_Amount_USD,Tax_Rate_Percent,Tax_Amount_USD,Shipping_Cost_USD,Insurance_Cost_USD,Total_Amount_USD,Currency,Order_Status,Delivery_Date,Payment_Method,Payment_Status,Sales_Rep_ID,Agent_Name,Warehouse_Country,Warehouse_City,Shipping_Method,Priority,Notes
ORD-0000015,4/28/2019,CUST-00519,Small Business,Qatar,Al Wakrah,Food & Beverage,Dairy,433,237.29,102746.57,13.42,13788.59,0,0,4022.38,899.38,93879.74,USD,Shipped,5/2/2019,Installments,Paid,EMP-00098,Gulf Logistics Partners,Oman,Salalah,Sea Freight,High,Express required
ORD-0000016,3/11/2024,CUST-01140,Small Business,Qatar,Al Khor,Fashion,Sportswear,53,590.24,31282.72,4.99,1561.01,0,0,3455.46,278.71,33455.88,USD,Delivered,3/31/2024,Installments,Paid,EMP-00134,DHL Gulf,Kuwait,Jahra,Road Transport,Medium,Express required
ORD-0000017,1/9/2021,CUST-00775,Corporate,Saudi Arabia,Riyadh,Food & Beverage,Packaged Foods,3103,979.84,3040443.52,22.42,681667.44,15,353816.41,2737.29,25283.84,2740613.62,USD,Delivered,2/1/2021,Cash on Delivery,Paid,EMP-00153,FedEx Middle East,Oman,Muscat,Sea Freight,High,Express required
ORD-0000018,4/17/2020,CUST-00708,Small Business,Qatar,Al Wakrah,Industrial,Electrical,274,1114.17,305282.58,5.75,17553.75,0,0,1452.74,359.27,289540.84,USD,Delivered,4/25/2020,Letter of Credit,Paid,EMP-00224,Aramex,UAE,Abu Dhabi,Express Courier,Medium,Fragile items
ORD-0000019,1/18/2024,CUST-01196,Corporate,Kuwait,Salmiya,Electronics,Tablets,1345,3278.22,4409205.9,22.88,1008826.31,0,0,1049.36,5283.02,3406711.97,USD,Shipped,1/23/2024,Credit Card,Partial,EMP-00103,Red Sea Transport,UAE,Abu Dhabi,Sea Freight,High,Express required
ORD-0000020,12/6/2023,CUST-00577,Small Business,Qatar,Doha,Electronics,Smartphones,253,375.15,94912.95,7.21,6843.22,0,0,3910.39,823.22,92803.34,USD,Shipped,12/9/2023,Letter of Credit,Paid,EMP-00076,Al Futtaim Logistics,Qatar,Al Khor,Sea Freight,Medium,Express required
ORD-0000021,10/29/2019,CUST-01079,Small Business,Saudi Arabia,Jeddah,Automotive,Car Accessories,413,109.95,45409.35,3.29,1493.97,15,6587.31,2000.69,231.54,52734.92,USD,Returned,11/14/2019,Cash on Delivery,Pending,EMP-00279,Al Futtaim Logistics,Oman,Salalah,Road Transport,Low,Hazardous materials
ORD-0000022,5/17/2024,CUST-01181,Individual,Kuwait,Salmiya,Beauty & Health,Dental Care,3,591.41,1774.23,2.36,41.87,0,0,1648.9,0,3381.26,USD,Delivered,5/21/2024,Digital Wallet,Paid,EMP-00206,Agility Logistics,Kuwait,Salmiya,Road Transport,Urgent,Express required
ORD-0000023,2/11/2022,CUST-00905,Government,UAE,Ras Al Khaimah,Sports & Outdoors,Sports Shoes,9272,9261.36,85871329.92,5.28,4534006.22,5,4066866.19,1891.57,540306.67,85946388.13,USD,Delivered,2/20/2022,Installments,Paid,EMP-00197,FedEx Middle East,Qatar,Al Khor,Road Transport,Medium,Bulk order
ORD-0000024,7/16/2025,CUST-01399,E-commerce Platform,Bahrain,Riffa,Food & Beverage,Health Foods,2,260.16,520.32,2.39,12.44,10,50.79,2125.14,0,2683.81,USD,Shipped,7/18/2025,Installments,Paid,EMP-00214,Kanoo Shipping,Kuwait,Ahmadi,Air Freight,High,Express required
ORD-0000025,11/3/2025,CUST-00051,Small Business,Kuwait,Jahra,Electronics,Headphones,414,585.61,242442.54,8.06,19540.87,0,0,939.43,358.73,224199.83,USD,Delivered,11/13/2025,Credit Card,Paid,EMP-00051,MSC Arabian,Qatar,Doha,Air Freight,Medium,Express required
ORD-0000026,10/30/2020,CUST-00259,Individual,Oman,Muscat,Industrial,Packaging,2,459.09,918.18,4.9,44.99,5,43.66,4361.7,0,5278.55,USD,Delivered,11/3/2020,Letter of Credit,Paid,EMP-00206,Kanoo Shipping,Qatar,Al Rayyan,Air Freight,Medium,Fragile items
ORD-0000027,7/10/2022,CUST-01383,Small Business,Bahrain,Isa Town,Food & Beverage,Confectionery,496,1198.67,594540.32,10.96,65161.62,10,52937.87,3383.06,694.08,586393.71,USD,Shipped,7/16/2022,Bank Transfer,Paid,EMP-00152,CMA CGM Middle East,Kuwait,Kuwait City,Air Freight,Medium,Express required
ORD-0000029,7/23/2023,CUST-00330,Corporate,Saudi Arabia,Mecca,Food & Beverage,Bakery,4371,2061.7,9011690.7,13.08,1178729.14,15,1174944.23,1169.84,27379.01,9036454.64,USD,Shipped,7/27/2023,Digital Wallet,Paid,EMP-00241,Al Futtaim Logistics,Saudi Arabia,Medina,Air Freight,High,Express required
ORD-0000030,9/22/2023,CUST-01447,Individual,Bahrain,Manama,Sports & Outdoors,Fitness Equipment,20,256.6,5132,1.98,101.61,10,503.04,4047.71,0,9581.14,USD,Delivered,10/8/2023,Bank Transfer,Paid,EMP-00081,FedEx Middle East,Kuwait,Salmiya,Rail Freight,High,Bulk order
ORD-0000032,2/7/2019,CUST-01285,Small Business,UAE,Ras Al Khaimah,Electronics,Power Banks,93,1646.52,153126.36,6.62,10136.97,5,7149.47,4293.88,595.98,155028.72,USD,Delivered,2/19/2019,Bank Transfer,Paid,EMP-00234,Evergreen Gulf Services,UAE,Dubai,Express Courier,Medium,Fragile items
ORD-0000034,12/15/2020,CUST-00345,Corporate,Kuwait,Kuwait City,Industrial,Hardware,4724,3716.38,17556179.12,8.95,1571278.03,0,0,1215.13,55323.15,16041439.37,USD,Delivered,1/11/2021,Cash on Delivery,Pending,EMP-00206,Arabian Shipping Co.,Bahrain,Muharraq,Sea Freight,Medium,Express required
ORD-0000036,6/11/2022,CUST-01125,Individual,Saudi Arabia,Medina,Fashion,Sunglasses,8,670.02,5360.16,3.19,170.99,15,778.38,1849.32,0,7816.87,USD,Delivered,6/20/2022,Cash on Delivery,Paid,EMP-00269,Agility Logistics,Qatar,Doha,Air Freight,High,Express required
ORD-0000038,10/23/2022,CUST-01055,Government,Saudi Arabia,Medina,Sports & Outdoors,Bicycles,5717,6314.42,36099539.14,9.64,3479995.57,15,4892931.54,2154.58,305568.2,37820197.89,USD,Delivered,11/20/2022,Bank Transfer,Paid,EMP-00051,CMA CGM Middle East,Oman,Sur,Air Freight,High,Express required
ORD-0000039,9/6/2024,CUST-00254,Government,UAE,Dubai,Sports & Outdoors,Yoga,5557,8475.79,47099965.03,2.45,1153949.14,5,2297300.79,3825.84,375460.54,48622603.06,USD,Delivered,9/15/2024,Cash on Delivery,Paid,EMP-00228,Gulf Logistics Partners,Kuwait,Ahmadi,Express Courier,Low,Express required
ORD-0000040,11/17/2022,CUST-00930,E-commerce Platform,Bahrain,Hamad Town,Automotive,Tools,54,356.5,19251,3.02,581.38,10,1866.96,306.69,126.12,20969.39,USD,Shipped,11/28/2022,Bank Transfer,Paid,EMP-00216,COSCO Shipping Gulf,Qatar,Al Wakrah,Road Transport,Low,Express required
ORD-0000042,11/6/2020,CUST-00611,Individual,UAE,Fujairah,Beauty & Health,Makeup,19,358.15,6804.85,4.62,314.38,5,324.52,4779.63,0,11594.62,USD,Shipped,11/10/2020,Credit Card,Pending,EMP-00153,COSCO Shipping Gulf,UAE,Dubai,Air Freight,Medium,Express required
ORD-0000044,12/18/2023,CUST-00834,Corporate,Oman,Sohar,Beauty & Health,Fragrances,4918,1222.31,6011320.58,16.61,998480.35,5,250642.01,1453.53,9887.19,5274822.96,USD,Shipped,12/24/2023,Credit Card,Paid,EMP-00216,DHL Gulf,Qatar,Al Rayyan,Sea Freight,Urgent,Express required
ORD-0000045,12/8/2024,CUST-01470,Corporate,Bahrain,Muharraq,Electronics,Power Banks,2836,2416.66,6853647.76,19.52,1337832.04,10,551581.57,4153.53,21796.25,6093347.07,USD,Delivered,12/15/2024,Credit Card,Pending,EMP-00224,Evergreen Gulf Services,Bahrain,Hamad Town,Express Courier,Medium,Express required
ORD-0000046,11/10/2024,CUST-00529,Corporate,Saudi Arabia,Riyadh,Sports & Outdoors,Team Sports,195,4164.56,812089.2,20.07,162986.3,15,97365.43,1713.95,3878.53,752060.81,USD,Shipped,11/21/2024,Digital Wallet,Pending,EMP-00228,Al Futtaim Logistics,Saudi Arabia,Mecca,Air Freight,Medium,Express required
ORD-0000047,1/6/2024,CUST-00908,Corporate,UAE,Dubai,Automotive,Exterior,3752,4114.45,15437416.4,6.07,937051.18,5,725018.26,2903.03,136407.52,15364694.03,USD,Shipped,1/7/2024,Bank Transfer,Pending,EMP-00283,Middle East Freight Solutions,Kuwait,Jahra,Road Transport,Medium,Express required
ORD-0000048,3/10/2024,CUST-01134,E-commerce Platform,Kuwait,Salmiya,Sports & Outdoors,Sports Shoes,75,11.41,855.75,1.99,17.03,0,0,1305.91,0,2144.63,USD,Delivered,3/26/2024,Installments,Paid,EMP-00206,Middle East Freight Solutions,Saudi Arabia,Jubail,Road Transport,Medium,Temperature controlled
ORD-0000050,6/6/2023,CUST-00113,Corporate,Bahrain,Hamad Town,Sports & Outdoors,Bicycles,3601,421.95,1519441.95,17.77,270004.83,10,124943.71,4909.82,7196.05,1386486.7,USD,Delivered,6/22/2023,Credit Card,Paid,EMP-00241,Kanoo Shipping,Kuwait,Hawalli,Sea Freight,Medium,Express required
ORD-0000051,4/13/2019,CUST-00586,Individual,Kuwait,Hawalli,Beauty & Health,Makeup,7,16.38,114.66,0.03,0.03,0,0,3685.19,0,3799.82,USD,Delivered,5/11/2019,Bank Transfer,Paid,EMP-00225,Red Sea Transport,Bahrain,Manama,Air Freight,Urgent,Express required
ORD-0000052,4/19/2023,CUST-01358,Individual,UAE,Dubai,Food & Beverage,Organic Foods,7,949.65,6647.55,2.75,182.81,5,323.24,130.76,0,6918.74,USD,Delivered,5/7/2023,Letter of Credit,Paid,EMP-00124,CMA CGM Middle East,Saudi Arabia,Khobar,Air Freight,Urgent,Express required
ORD-0000053,10/29/2021,CUST-00883,Individual,Qatar,Lusail,Sports & Outdoors,Yoga,4,42.95,171.8,0.24,0.41,0,0,1973.34,0,2144.73,USD,Delivered,11/19/2021,Credit Card,Pending,EMP-00197,MSC Arabian,Bahrain,Riffa,Air Freight,Low,Express required
ORD-0000055,10/22/2023,CUST-01314,Small Business,Bahrain,Isa Town,Automotive,Exterior,332,743.88,246968.16,11.83,29216.33,10,21775.18,2254.81,294.29,242076.11,USD,Delivered,11/15/2023,Credit Card,Paid,EMP-00269,COSCO Shipping Gulf,Oman,Sohar,Road Transport,Urgent,Express required
ORD-0000057,4/17/2019,CUST-01214,Small Business,Bahrain,Manama,Industrial,Machinery,11,51.79,569.69,1.96,11.17,10,55.85,3848.58,0,4462.95,USD,Delivered,4/26/2019,Bank Transfer,Paid,EMP-00152,UPS Arabia,Kuwait,Kuwait City,Express Courier,Medium,Express required
ORD-0000058,11/27/2019,CUST-00440,Corporate,Kuwait,Salmiya,Fashion,Sunglasses,1205,4102.77,4943837.85,17.69,874564.92,0,0,272.96,42438.82,4111984.71,USD,Delivered,12/3/2019,Credit Card,Paid,EMP-00283,FedEx Middle East,Saudi Arabia,Khobar,Express Courier,Medium,Express required
ORD-0000059,11/23/2021,CUST-01423,Corporate,Bahrain,Muharraq,Electronics,Speakers,4273,3570.27,15255763.71,22.61,3449328.17,10,1180643.55,404.58,38084.42,13025568.09,USD,Delivered,11/24/2021,Credit Card,Paid,EMP-00225,Middle East Freight Solutions,Qatar,Al Khor,Road Transport,High,Fragile items
ORD-0000062,10/21/2025,CUST-00861,Individual,Qatar,Al Rayyan,Sports & Outdoors,Team Sports,18,571.43,10285.74,4.49,461.83,0,0,2338.4,100.73,12263.04,USD,Delivered,11/1/2025,Bank Transfer,Pending,EMP-00279,COSCO Shipping Gulf,Bahrain,Hamad Town,Road Transport,High,Express required
ORD-0000063,6/3/2025,CUST-01368,Small Business,Kuwait,Salmiya,Automotive,Car Accessories,208,1254.84,261006.72,7.01,18296.57,0,0,1130.52,639.41,244480.08,USD,Shipped,6/7/2025,Cash on Delivery,Pending,EMP-00248,Desert Express Logistics,Kuwait,Kuwait City,Express Courier,Medium,Express required
ORD-0000064,9/11/2019,CUST-01083,Individual,Oman,Sohar,Industrial,Tools,12,645.91,7750.92,3.84,297.64,5,372.66,3108.72,0,10934.66,USD,Returned,10/5/2019,Cash on Delivery,Pending,EMP-00152,Kanoo Shipping,UAE,Fujairah,Sea Freight,Urgent,Express required
ORD-0000065,8/17/2025,CUST-00131,Corporate,UAE,Abu Dhabi,Food & Beverage,Beverages,799,1813.38,1448890.62,24.29,351935.53,5,54847.75,3047.12,10644.02,1165493.98,USD,Shipped,8/28/2025,Letter of Credit,Paid,EMP-00279,Agility Logistics,UAE,Ajman,Air Freight,High,Express required
ORD-0000067,6/1/2021,CUST-01357,Corporate,Bahrain,Riffa,Sports & Outdoors,Sports Shoes,2295,4080.22,9364104.9,9.1,852133.55,10,851197.14,1255.9,46034.57,9410458.96,USD,Delivered,7/1/2021,Bank Transfer,Paid,EMP-00224,Kanoo Shipping,Kuwait,Jahra,Air Freight,Urgent,Express required
ORD-0000068,10/5/2023,CUST-00718,Individual,UAE,Ajman,Industrial,Plumbing,5,98.87,494.35,2.68,13.25,5,24.06,3728.5,0,4233.66,USD,Delivered,10/25/2023,Bank Transfer,Paid,EMP-00233,Evergreen Gulf Services,Oman,Salalah,Air Freight,Medium,Express required
ORD-0000069,11/10/2024,CUST-00195,Individual,Oman,Salalah,Industrial,Machinery,20,720.64,14412.8,10.3,1484.52,5,646.41,2922.67,57.95,16555.31,USD,Delivered,11/16/2024,Cash on Delivery,Paid,EMP-00242,Agility Logistics,Kuwait,Salmiya,Sea Freight,Low,Express required
ORD-0000071,10/30/2021,CUST-01488,Individual,Bahrain,Riffa,Sports & Outdoors,Yoga,14,344.37,4821.18,0.91,43.87,10,477.73,3848.09,0,9103.13,USD,Delivered,11/27/2021,Cash on Delivery,Paid,EMP-00089,Desert Express Logistics,Qatar,Al Rayyan,Air Freight,Medium,Express required
ORD-0000072,3/3/2020,CUST-00361,Small Business,Kuwait,Kuwait City,Beauty & Health,Medical Devices,362,1315.82,476326.84,10.18,48490.07,0,0,1492.39,1593.29,430922.45,USD,Delivered,3/26/2020,Cash on Delivery,Paid,EMP-00089,Gulf Logistics Partners,Kuwait,Jahra,Sea Freight,Medium,Express required
ORD-0000073,6/28/2019,CUST-00893,E-commerce Platform,Saudi Arabia,Taif,Industrial,Plumbing,54,156.89,8472.06,2.3,194.86,15,1241.58,1497.6,0,11016.38,USD,Delivered,7/20/2019,Credit Card,Paid,EMP-00224,Middle East Freight Solutions,Qatar,Al Rayyan,Road Transport,Low,Express required
ORD-0000074,1/23/2025,CUST-00835,Corporate,UAE,Sharjah,Home & Garden,Decor,2148,1817.92,3904892.16,10.74,419385.42,5,174275.34,4767.83,30507.3,3695057.21,USD,Delivered,2/5/2025,Letter of Credit,Paid,EMP-00283,Kanoo Shipping,Kuwait,Kuwait City,Sea Freight,High,Express required
ORD-0000075,7/27/2023,CUST-00815,Corporate,UAE,Fujairah,Fashion,Bags,858,524.98,450432.84,20.31,91482.91,5,17947.5,3282.37,582.6,380762.4,USD,Delivered,8/18/2023,Digital Wallet,Pending,EMP-00103,Arabian Shipping Co.,Oman,Salalah,Express Courier,Medium,Express required
ORD-0000076,7/7/2022,CUST-00644,Small Business,Kuwait,Kuwait City,Sports & Outdoors,Swimming Gear,296,1966.58,582107.68,11.23,65370.69,0,0,3374.26,1287.63,521398.88,USD,Delivered,7/12/2022,Letter of Credit,Overdue,EMP-00101,Aramex,Qatar,Al Rayyan,Rail Freight,Low,Express required
ORD-0000077,8/16/2025,CUST-00418,Individual,Kuwait,Salmiya,Fashion,Sunglasses,10,275.05,2750.5,2.85,78.39,0,0,4719.7,0,7391.81,USD,Delivered,9/2/2025,Credit Card,Paid,EMP-00124,Evergreen Gulf Services,Oman,Salalah,Air Freight,Medium,Temperature controlled
ORD-0000078,2/1/2020,CUST-00494,Corporate,Qatar,Al Khor,Food & Beverage,Frozen Foods,4603,3746.76,17246336.28,5.66,976142.63,0,0,3475.73,55290.83,16328960.21,USD,Delivered,2/12/2020,Credit Card,Paid,EMP-00152,MSC Arabian,Qatar,Al Wakrah,Sea Freight,Urgent,Express required
ORD-0000079,4/26/2023,CUST-00809,Small Business,Oman,Sohar,Automotive,Lighting,101,1981.43,200124.43,2.57,5143.2,5,9749.06,76.76,214.8,205021.85,USD,Shipped,4/27/2023,Cash on Delivery,Paid,EMP-00153,MSC Arabian,Bahrain,Manama,Air Freight,Medium,Express required
ORD-0000080,3/10/2021,CUST-00708,Small Business,Qatar,Al Wakrah,Industrial,Chemicals,88,1094.58,96323.04,7.16,6896.73,0,0,2624.22,511.63,92562.16,USD,Delivered,4/3/2021,Cash on Delivery,Paid,EMP-00269,Al Futtaim Logistics,UAE,Ajman,Air Freight,Urgent,Express required
ORD-0000081,10/4/2023,CUST-00899,Corporate,Qatar,Al Rayyan,Home & Garden,Decor,1729,4366.76,7550128.04,16.81,1269176.52,0,0,1898.52,51551.09,6334401.13,USD,Delivered,10/16/2023,Credit Card,Paid,EMP-00197,COSCO Shipping Gulf,Bahrain,Manama,Sea Freight,High,Express required
ORD-0000082,6/3/2020,CUST-00797,Government,Bahrain,Isa Town,Industrial,Safety Equipment,2830,8326.62,23564334.6,6.95,1637721.25,10,2192661.34,1548.19,197788.45,24318611.33,USD,Delivered,6/21/2020,Bank Transfer,Paid,EMP-00202,Agility Logistics,Bahrain,Riffa,Road Transport,Medium,Express required
ORD-0000084,6/24/2021,CUST-00150,Individual,Saudi Arabia,Khobar,Sports & Outdoors,Team Sports,7,649.4,4545.8,4.08,185.47,15,654.05,496.26,0,5510.64,USD,Delivered,7/16/2021,Cash on Delivery,Paid,EMP-00241,CMA CGM Middle East,Kuwait,Hawalli,Air Freight,Medium,Express required
ORD-0000086,2/5/2021,CUST-01283,Individual,Saudi Arabia,Dammam,Industrial,Measuring,17,617.06,10490.02,11.5,1206.35,15,1392.55,488.43,41.48,11206.13,USD,Delivered,2/23/2021,Credit Card,Paid,EMP-00197,Desert Express Logistics,Qatar,Al Wakrah,Sea Freight,Medium,Express required
ORD-0000087,1/4/2025,CUST-00001,Corporate,Saudi Arabia,Dammam,Industrial,Packaging,4857,1294.74,6288552.18,21.83,1372790.94,15,737364.19,2885.82,16153.99,5672165.24,USD,Delivered,2/3/2025,Digital Wallet,Overdue,EMP-00202,MSC Arabian,UAE,Ajman,Road Transport,Urgent,Bulk order
ORD-0000088,4/3/2019,CUST-00418,Individual,Kuwait,Salmiya,Automotive,Interior,1,84.93,84.93,4.52,3.84,0,0,1433.27,0,1514.36,USD,Delivered,4/28/2019,Cash on Delivery,Overdue,EMP-00152,Aramex,Oman,Salalah,Road Transport,Medium,Express required
ORD-0000089,3/11/2023,CUST-00477,Individual,Saudi Arabia,Medina,Food & Beverage,Confectionery,1,703.69,703.69,2.74,19.28,15,102.66,2127.49,0,2914.56,USD,Shipped,3/12/2023,Credit Card,Paid,EMP-00216,MSC Arabian,UAE,Abu Dhabi,Road Transport,Medium,Express required
ORD-0000091,10/7/2023,CUST-01210,Individual,Qatar,Doha,Electronics,Power Banks,12,809.77,9717.24,2.37,230.3,0,0,2428.11,0,11915.05,USD,Delivered,10/17/2023,Bank Transfer,Paid,EMP-00225,FedEx Middle East,Saudi Arabia,Riyadh,Express Courier,Medium,Express required
ORD-0000092,6/24/2020,CUST-01349,Corporate,Oman,Sur,Electronics,Power Banks,824,4294.69,3538824.56,18.49,654328.66,5,144224.8,194.4,25540.19,3054455.29,USD,Delivered,7/3/2020,Cash on Delivery,Paid,EMP-00103,Hapag-Lloyd Gulf,UAE,Sharjah,Express Courier,Low,Express required
ORD-0000093,10/4/2020,CUST-00558,Corporate,Oman,Nizwa,Beauty & Health,Skincare,2638,3907.12,10306982.56,16.27,1676946.06,5,431501.83,4379.41,52670.61,9118588.35,USD,Delivered,10/29/2020,Digital Wallet,Overdue,EMP-00234,Red Sea Transport,Bahrain,Hamad Town,Sea Freight,Urgent,Express required
ORD-0000094,1/3/2023,CUST-00925,Small Business,Bahrain,Hamad Town,Automotive,Tires,179,1020.3,182633.7,9.25,16893.62,10,16574.01,4704.23,1623.84,188642.16,USD,Delivered,1/27/2023,Installments,Paid,EMP-00103,Hapag-Lloyd Gulf,Qatar,Al Rayyan,Air Freight,Medium,Bulk order
ORD-0000095,4/21/2024,CUST-00614,Small Business,Oman,Salalah,Fashion,Shoes,33,107.29,3540.57,0.88,31.16,5,175.47,1768.23,0,5453.11,USD,Delivered,4/30/2024,Credit Card,Paid,EMP-00248,Maersk Gulf,Bahrain,Isa Town,Sea Freight,Medium,Express required
ORD-0000096,9/14/2024,CUST-00583,Corporate,Bahrain,Riffa,Sports & Outdoors,Swimming Gear,3778,40.2,151875.6,21.37,32455.82,10,11941.98,3450.28,577.48,135389.52,USD,Delivered,10/6/2024,Digital Wallet,Paid,EMP-00051,CMA CGM Middle East,UAE,Ajman,Road Transport,Medium,Express required
ORD-0000099,3/2/2024,CUST-00393,E-commerce Platform,Bahrain,Manama,Sports & Outdoors,Sports Shoes,49,26.75,1310.75,1.32,17.3,10,129.34,3122.36,0,4545.15,USD,Delivered,3/21/2024,Bank Transfer,Paid,EMP-00153,Desert Express Logistics,Kuwait,Hawalli,Road Transport,Medium,Express required
ORD-0000100,11/1/2021,CUST-00297,Individual,UAE,Abu Dhabi,Beauty & Health,Vitamins,16,393.48,6295.68,4.74,298.42,5,299.86,2670.74,0,8967.86,USD,Delivered,11/18/2021,Bank Transfer,Paid,EMP-00167,Hapag-Lloyd Gulf,Oman,Nizwa,Express Courier,Medium,Temperature controlled
ORD-0000101,11/14/2024,CUST-00873,Individual,Oman,Nizwa,Electronics,Speakers,10,193.11,1931.1,3.95,76.28,5,92.74,2077.16,0,4024.72,USD,Delivered,12/8/2024,Credit Card,Paid,EMP-00134,Middle East Freight Solutions,Oman,Muscat,Express Courier,Low,Express required
ORD-0000103,6/5/2025,CUST-00365,Individual,UAE,Ras Al Khaimah,Automotive,Electronics,19,871.61,16560.59,3.22,533.25,5,801.37,861.14,93.45,17783.3,USD,Delivered,6/21/2025,Bank Transfer,Paid,EMP-00081,Desert Express Logistics,Bahrain,Riffa,Sea Freight,Urgent,Express required
ORD-0000104,8/24/2021,CUST-00642,Government,Kuwait,Salmiya,Sports & Outdoors,Hiking Equipment,9651,7182.19,69315315.69,2.02,1400169.38,0,0,4056.42,501657.67,68420860.4,USD,Delivered,9/17/2021,Credit Card,Paid,EMP-00089,Arabian Shipping Co.,UAE,Ajman,Rail Freight,High,Express required
ORD-0000105,4/30/2021,CUST-01314,Small Business,Bahrain,Isa Town,Automotive,Car Accessories,476,1567.69,746220.44,9.76,72831.11,10,67338.93,2576.48,3510.89,746815.63,USD,Delivered,5/23/2021,Credit Card,Paid,EMP-00234,GAC Logistics,Oman,Muscat,Air Freight,High,Express required
ORD-0000106,4/7/2023,CUST-00028,Individual,Kuwait,Hawalli,Electronics,TVs,13,236.25,3071.25,1.48,45.45,0,0,1047.12,0,4072.92,USD,Delivered,4/21/2023,Credit Card,Paid,EMP-00197,Al Futtaim Logistics,Saudi Arabia,Taif,Sea Freight,Low,Express required
ORD-0000107,1/4/2021,CUST-00881,Small Business,Kuwait,Ahmadi,Industrial,Machinery,425,346.26,147160.5,3.96,5827.56,0,0,1806.33,1103.49,144242.76,USD,Delivered,1/26/2021,Cash on Delivery,Paid,EMP-00152,Desert Express Logistics,Qatar,Al Wakrah,Road Transport,High,Temperature controlled
