Inventory_ID,Warehouse_ID,Warehouse_Name,Country,City,SKU,Product_Category,Product_Name,Current_Stock,Reorder_Level,Max_Stock_Capacity,Unit_Cost_USD,Unit_Price_USD,Stock_Value_USD,Received_Date,Expiry_Date,Units_Received_YTD,Units_Shipped_YTD,Units_Returned_YTD,Stock_Turnover_Rate,Quality_Status,Storage_Zone,Shelf_Location,Batch_Number,Supplier_Name,Last_Stock_Count_Date,Stock_Count_Variance,Handler_Employee_ID,Temperature_Required,Hazardous_Class,Barcode,Weight_Per_Unit_KG,Dimensions_CM
INV-0000011,WH-007,CNF Kuwait City Distribution Center,Kuwait,Kuwait City,SKU-AUT-8822-866,Automotive,Car Care,3952,408,7324,4190.87,10764.68,16562318.24,10/7/2019,12/5/2025,36748,18042,817,4.57,Good,High Value,High Value-24-10,BATCH-2020707,Local Distributors,8/17/2022,35,EMP-00244,Ambient,None,8.90181E+12,13.48,73x35x40
INV-0000012,WH-002,CNF Abu Dhabi Distribution Center,UAE,Abu Dhabi,SKU-FAS-5083-813,Fashion,Bags,6123,159,8561,1246.33,1852.97,7631278.59,8/3/2023,12/5/2025,13688,5118,93,0.84,Good,C2,C2-5-2,BATCH-2021710,Turkey Logistics,9/15/2023,-35,EMP-00020,Ambient,None,8.90639E+12,39.06,52x77x35
INV-0000013,WH-002,CNF Abu Dhabi Distribution Center,UAE,Abu Dhabi,SKU-BEA-1718-647,Beauty & Health,Fragrances,9456,62,9575,4413.16,12229.47,41730840.96,4/1/2021,7/2/2022,32695,31717,1283,3.35,Good,A1,A1-14-3,BATCH-2024373,Global Supply Co.,6/12/2025,36,EMP-00014,2-8°C,None,8.90366E+12,52.87,149x99x40
INV-0000014,WH-009,CNF Salmiya Distribution Center,Kuwait,Salmiya,SKU-FAS-1153-248,Fashion,Sportswear,8202,473,11135,4600.96,9811.93,37737073.92,1/3/2023,12/5/2025,25434,14109,158,1.72,Good,B2,B2-35-5,BATCH-2021030,Local Distributors,4/4/2024,6,EMP-00020,Ambient,None,8.90817E+12,80.47,103x58x36
INV-0000015,WH-005,CNF Jeddah Distribution Center,Saudi Arabia,Jeddah,SKU-BEA-5853-866,Beauty & Health,Dental Care,9755,59,10815,3137.37,6165.13,30605044.35,8/16/2020,5/24/2022,45240,4119,105,0.42,Good,B1,B1-50-8,BATCH-2021700,Local Distributors,4/27/2022,43,EMP-00294,Ambient,None,8.90864E+12,21.69,158x36x5
INV-0000016,WH-003,CNF Sharjah Distribution Center,UAE,Sharjah,SKU-IND-3029-483,Industrial,Safety Equipment,7330,412,10851,2705.79,4145.63,19833440.7,3/9/2023,12/5/2025,37796,4081,159,0.56,Good,D1,D1-38-1,BATCH-2025095,Gulf Manufacturing,3/9/2025,26,EMP-00240,Ambient,None,8.90266E+12,53.04,22x86x46
INV-0000017,WH-004,CNF Riyadh Distribution Center,Saudi Arabia,Riyadh,SKU-ELE-6439-988,Electronics,Tablets,5269,259,7646,3800.02,4867.06,20022305.38,9/14/2024,12/5/2025,22139,4808,224,0.91,Good,D1,D1-10-10,BATCH-2022369,Gulf Manufacturing,5/26/2025,28,EMP-00046,Ambient,None,8.90805E+12,44.32,126x35x19
INV-0000018,WH-007,CNF Kuwait City Distribution Center,Kuwait,Kuwait City,SKU-IND-2796-573,Industrial,Packaging,9474,271,13829,1327.99,1605.31,12581377.26,2/11/2025,12/5/2025,24624,12189,142,1.29,Good,C1,C1-26-8,BATCH-2023228,Euro Logistics,8/28/2025,-27,EMP-00140,Ambient,None,8.9083E+12,8.59,87x41x44
INV-0000019,WH-017,CNF Salalah Distribution Center,Oman,Salalah,SKU-FAS-9954-485,Fashion,Sportswear,9505,224,10814,46.67,112.04,443598.35,7/25/2021,12/5/2025,42819,40647,1972,4.28,Good,B2,B2-43-6,BATCH-2019908,China Export Hub,3/18/2023,4,EMP-00036,Ambient,None,8.90765E+12,12.08,84x99x43
INV-0000020,WH-009,CNF Salmiya Distribution Center,Kuwait,Salmiya,SKU-ELE-8460-722,Electronics,Headphones,3057,298,7659,4535.84,7595.16,13866062.88,8/17/2021,12/5/2025,32227,31908,1094,10.44,Good,High Value,High Value-28-7,BATCH-2020850,Local Distributors,6/28/2024,-40,EMP-00294,Ambient,None,8.9049E+12,19.4,47x32x30
INV-0000021,WH-001,CNF Dubai Distribution Center,UAE,Dubai,SKU-SPO-7967-539,Sports & Outdoors,Running,4620,220,6441,1447.94,4341.89,6689482.8,5/20/2022,12/5/2025,44975,3419,70,0.74,Good,C2,C2-26-7,BATCH-2022002,Euro Logistics,11/12/2024,9,EMP-00082,Ambient,None,8.90373E+12,30.02,76x90x45
INV-0000022,WH-011,CNF Al Wakrah Distribution Center,Qatar,Al Wakrah,SKU-SPO-2309-468,Sports & Outdoors,Running,4605,359,5864,1771.04,3287.47,8155639.2,10/26/2022,12/5/2025,25202,7177,42,1.56,Damaged,B2,B2-22-1,BATCH-2019185,India Trade Center,7/13/2024,-5,EMP-00244,Ambient,None,8.90571E+12,44.56,64x18x37
INV-0000023,WH-015,CNF Muharraq Distribution Center,Bahrain,Muharraq,SKU-AUT-1324-291,Automotive,Lighting,3307,122,8004,2275.32,3468.64,7524483.24,2/18/2022,12/5/2025,19892,19149,367,5.79,Damaged,C2,C2-35-3,BATCH-2019379,Local Distributors,8/24/2025,3,EMP-00162,Ambient,None,8.90697E+12,79.21,128x47x23
INV-0000024,WH-004,CNF Riyadh Distribution Center,Saudi Arabia,Riyadh,SKU-AUT-1406-163,Automotive,Tires,9827,448,10259,3522.44,6481,34615017.88,2/21/2021,12/5/2025,13429,12295,269,1.25,Good,Hazmat Zone,Hazmat Zone-24-2,BATCH-2024784,Local Distributors,2/8/2025,31,EMP-00046,Ambient,None,8.90258E+12,81.91,127x93x34
INV-0000025,WH-015,CNF Muharraq Distribution Center,Bahrain,Muharraq,SKU-HOM-3212-362,Home & Garden,Bedding,1247,436,2719,140.1,280.97,174704.7,6/9/2023,12/5/2025,9800,1557,24,1.25,Good,Cold Zone,Cold Zone-2-1,BATCH-2025372,Asia Trade Partners,8/1/2025,1,EMP-00135,Ambient,None,8.90601E+12,22.9,18x82x32
INV-0000026,WH-014,CNF Riffa Distribution Center,Bahrain,Riffa,SKU-FOO-5414-446,Food & Beverage,Health Foods,6172,113,6911,608.06,797.89,3752946.32,10/2/2022,1/25/2024,46596,28823,1148,4.67,Good,C2,C2-34-1,BATCH-2023046,Turkey Logistics,7/9/2024,13,EMP-00299,-20°C,None,8.90829E+12,54,112x14x12
INV-0000027,WH-003,CNF Sharjah Distribution Center,UAE,Sharjah,SKU-IND-7959-790,Industrial,Packaging,785,332,4764,4525.2,7284.05,3552282,8/25/2022,12/5/2025,36351,17342,707,22.09,Good,B1,B1-48-6,BATCH-2025362,Gulf Manufacturing,6/13/2025,13,EMP-00284,Ambient,Class 8,8.90248E+12,24.75,152x11x35
INV-0000028,WH-018,CNF Sohar Distribution Center,Oman,Sohar,SKU-FOO-6158-757,Food & Beverage,Snacks,3548,352,5928,2214.22,4130.23,7856052.56,3/23/2020,8/12/2021,36340,25988,690,7.32,Good,B2,B2-1-9,BATCH-2022109,Asia Trade Partners,12/22/2020,-36,EMP-00190,-20°C,None,8.9072E+12,9.66,199x15x30
INV-0000029,WH-010,CNF Doha Distribution Center,Qatar,Doha,SKU-ELE-5989-318,Electronics,Power Banks,5444,298,7494,1965.92,3045.01,10702468.48,12/18/2021,12/5/2025,10448,244,9,0.04,Good,A1,A1-44-1,BATCH-2025661,Turkey Logistics,2/19/2022,-29,EMP-00082,Ambient,None,8.90178E+12,8.48,71x5x48
INV-0000030,WH-014,CNF Riffa Distribution Center,Bahrain,Riffa,SKU-BEA-7157-400,Beauty & Health,Skincare,2429,447,6274,4777.31,10033.09,11604085.99,1/3/2025,12/31/2025,8424,336,14,0.14,Good,C1,C1-21-6,BATCH-2020153,Local Distributors,6/16/2025,18,EMP-00185,Frozen,None,8.90118E+12,19.74,8x21x13
INV-0000031,WH-011,CNF Al Wakrah Distribution Center,Qatar,Al Wakrah,SKU-AUT-1106-645,Automotive,Lighting,8445,351,11161,2951.45,8561.24,24924995.25,4/18/2022,12/5/2025,6654,50,2,0.01,Damaged,B1,B1-38-4,BATCH-2021236,Turkey Logistics,10/6/2025,41,EMP-00018,Ambient,None,8.90542E+12,87.07,10x87x26
INV-0000032,WH-008,CNF Hawalli Distribution Center,Kuwait,Hawalli,SKU-HOM-3288-607,Home & Garden,Decor,2740,179,3478,3756.23,10489.61,10292070.2,11/23/2021,12/5/2025,17761,16997,326,6.2,Good,A1,A1-14-4,BATCH-2025081,Local Distributors,4/19/2024,28,EMP-00299,Ambient,None,8.90847E+12,88.98,191x95x15
INV-0000033,WH-018,CNF Sohar Distribution Center,Oman,Sohar,SKU-HOM-8501-609,Home & Garden,Dining,1432,145,2031,338.03,970.48,484058.96,10/22/2022,12/5/2025,38597,19563,236,13.66,Good,A1,A1-13-9,BATCH-2019775,Gulf Manufacturing,5/20/2024,-50,EMP-00190,Ambient,None,8.90858E+12,95.1,144x13x19
INV-0000034,WH-009,CNF Salmiya Distribution Center,Kuwait,Salmiya,SKU-AUT-5022-710,Automotive,Oils,3357,456,6878,4969.1,8846.59,16681268.7,2/11/2020,12/5/2025,41361,25236,537,7.52,Good,D1,D1-9-9,BATCH-2021721,Turkey Logistics,12/1/2024,-3,EMP-00082,Ambient,None,8.90407E+12,28.99,86x23x41
INV-0000035,WH-001,CNF Dubai Distribution Center,UAE,Dubai,SKU-FOO-5779-545,Food & Beverage,Packaged Foods,5604,362,10093,3877.27,7082.04,21728221.08,5/7/2023,12/29/2024,1327,343,6,0.06,Quarantine,Cold Zone,Cold Zone-5-1,BATCH-2019068,Turkey Logistics,8/25/2025,22,EMP-00172,-20°C,None,8.90896E+12,68.6,7x68x29
INV-0000036,WH-005,CNF Jeddah Distribution Center,Saudi Arabia,Jeddah,SKU-FOO-6059-697,Food & Beverage,Spices,2506,182,3250,2278.62,5817.19,5710221.72,1/5/2025,10/30/2025,18796,2139,101,0.85,Good,A1,A1-43-2,BATCH-2021178,Local Distributors,6/5/2025,-34,EMP-00294,15-25°C,None,8.90301E+12,81.26,142x86x26
INV-0000037,WH-001,CNF Dubai Distribution Center,UAE,Dubai,SKU-AUT-9064-599,Automotive,Interior,8447,342,11386,3516.5,4687.99,29703875.5,7/1/2019,12/5/2025,33813,32412,539,3.84,Good,C2,C2-19-2,BATCH-2019894,Asia Trade Partners,10/11/2021,4,EMP-00058,Ambient,None,8.90685E+12,35.22,183x39x24
INV-0000038,WH-017,CNF Salalah Distribution Center,Oman,Salalah,SKU-SPO-6919-730,Sports & Outdoors,Running,6940,306,10368,1367.47,3265.83,9490241.8,3/23/2024,12/5/2025,24699,20123,446,2.9,Good,C1,C1-16-10,BATCH-2019670,Global Supply Co.,10/9/2024,44,EMP-00036,Ambient,None,8.90289E+12,36.66,195x100x18
INV-0000039,WH-005,CNF Jeddah Distribution Center,Saudi Arabia,Jeddah,SKU-HOM-4131-535,Home & Garden,Bedding,8959,52,11370,4966.8,9581.33,44497561.2,4/19/2025,12/5/2025,14701,2712,125,0.3,Good,A1,A1-43-4,BATCH-2020632,Global Supply Co.,7/4/2025,0,EMP-00058,Ambient,Class 1,8.9062E+12,46.92,130x86x42
INV-0000040,WH-013,CNF Manama Distribution Center,Bahrain,Manama,SKU-SPO-3505-689,Sports & Outdoors,Bicycles,9323,105,14244,339.96,782.93,3169447.08,1/18/2025,12/5/2025,42639,554,22,0.06,Good,Hazmat Zone,Hazmat Zone-39-7,BATCH-2019984,Global Supply Co.,2/7/2025,-26,EMP-00175,Ambient,Class 6,8.90901E+12,68.07,167x5x7
INV-0000041,WH-007,CNF Kuwait City Distribution Center,Kuwait,Kuwait City,SKU-FAS-7599-349,Fashion,Kids Clothing,176,383,853,69.79,165.3,12283.04,12/23/2023,12/5/2025,21306,17003,77,96.61,Good,A2,A2-16-7,BATCH-2024593,Local Distributors,12/28/2024,12,EMP-00284,Ambient,None,8.90678E+12,38.54,157x92x34
INV-0000042,WH-012,CNF Al Khor Distribution Center,Qatar,Al Khor,SKU-FOO-5139-659,Food & Beverage,Bakery,3869,224,7769,2930.81,6260.15,11339303.89,10/5/2020,8/26/2021,1578,1443,72,0.37,Recalled,C2,C2-35-3,BATCH-2021443,Global Supply Co.,12/21/2022,18,EMP-00284,Ambient,None,8.90849E+12,37.71,50x69x13
INV-0000043,WH-012,CNF Al Khor Distribution Center,Qatar,Al Khor,SKU-HOM-2840-823,Home & Garden,Dining,2634,162,4206,4074.87,8442.69,10733207.58,2/8/2025,12/5/2025,35559,25550,1185,9.7,Good,C1,C1-24-3,BATCH-2019241,Local Distributors,11/24/2025,-32,EMP-00184,Ambient,None,8.90137E+12,47.62,123x28x17
INV-0000044,WH-010,CNF Doha Distribution Center,Qatar,Doha,SKU-FOO-5711-725,Food & Beverage,Spices,2905,368,6185,70.02,143.6,203408.1,8/3/2019,6/1/2020,41036,10465,288,3.6,Good,B1,B1-4-8,BATCH-2024666,China Export Hub,12/18/2019,-36,EMP-00020,-20°C,None,8.90206E+12,7.75,153x7x17
INV-0000045,WH-012,CNF Al Khor Distribution Center,Qatar,Al Khor,SKU-AUT-1091-441,Automotive,Lighting,4487,340,4901,984.4,2693.35,4417002.8,10/9/2024,12/5/2025,37034,31029,1187,6.92,Good,Hazmat Zone,Hazmat Zone-44-3,BATCH-2021630,Global Supply Co.,8/30/2025,-28,EMP-00058,Ambient,None,8.901E+12,81.49,162x10x32
INV-0000046,WH-007,CNF Kuwait City Distribution Center,Kuwait,Kuwait City,SKU-FAS-6906-756,Fashion,Accessories,6830,399,7910,1032.59,1256.26,7052589.7,2/23/2024,12/5/2025,21999,7364,124,1.08,Good,Cold Zone,Cold Zone-7-5,BATCH-2020884,China Export Hub,9/30/2024,-45,EMP-00244,Ambient,None,8.90843E+12,19,149x79x45
INV-0000047,WH-008,CNF Hawalli Distribution Center,Kuwait,Hawalli,SKU-AUT-5549-413,Automotive,Exterior,8707,99,10673,3991.3,5302.33,34752249.1,2/20/2019,12/5/2025,28841,17809,164,2.05,Good,C2,C2-41-4,BATCH-2020105,China Export Hub,4/3/2025,-40,EMP-00140,Ambient,None,8.90947E+12,12.65,193x64x25
INV-0000048,WH-017,CNF Salalah Distribution Center,Oman,Salalah,SKU-SPO-4929-859,Sports & Outdoors,Fishing,6536,193,6639,2273.85,5629.59,14861883.6,12/15/2020,12/5/2025,2774,2510,119,0.38,Good,B2,B2-32-2,BATCH-2020052,Euro Logistics,12/7/2021,40,EMP-00190,Ambient,None,8.90734E+12,15.97,38x15x23
INV-0000049,WH-013,CNF Manama Distribution Center,Bahrain,Manama,SKU-FOO-1070-256,Food & Beverage,Frozen Foods,5217,425,8022,2654.24,6711.16,13847170.08,5/3/2024,12/31/2025,9724,3045,66,0.58,Good,A1,A1-38-5,BATCH-2019551,Global Supply Co.,8/3/2025,-31,EMP-00185,2-8°C,Class 8,8.90189E+12,68.53,172x15x22
INV-0000050,WH-017,CNF Salalah Distribution Center,Oman,Salalah,SKU-IND-6467-794,Industrial,Packaging,8240,458,11118,739.74,1921.16,6095457.6,9/11/2021,12/5/2025,22735,12503,274,1.52,Good,B1,B1-17-9,BATCH-2020628,Global Supply Co.,9/7/2022,37,EMP-00014,Ambient,None,8.90275E+12,76.5,191x78x11
INV-0000051,WH-012,CNF Al Khor Distribution Center,Qatar,Al Khor,SKU-IND-9263-595,Industrial,Machinery,3307,421,6677,4775.49,12394.3,15792545.43,2/9/2021,12/5/2025,47252,43398,1912,13.12,Recalled,A1,A1-16-5,BATCH-2024131,Asia Trade Partners,4/12/2025,42,EMP-00135,Ambient,None,8.90526E+12,18.53,168x95x37
INV-0000052,WH-011,CNF Al Wakrah Distribution Center,Qatar,Al Wakrah,SKU-HOM-3575-814,Home & Garden,Cleaning,1954,163,4844,720.82,2158.48,1408482.28,7/14/2020,12/5/2025,9622,9597,477,4.91,Good,C1,C1-41-9,BATCH-2020138,Gulf Manufacturing,7/13/2025,-36,EMP-00046,Ambient,None,8.90366E+12,60.81,54x99x31
INV-0000053,WH-009,CNF Salmiya Distribution Center,Kuwait,Salmiya,SKU-IND-6538-523,Industrial,Packaging,4262,89,4850,2303.85,3778.17,9819008.7,11/1/2023,12/5/2025,790,92,1,0.02,Good,A1,A1-8-2,BATCH-2020983,Asia Trade Partners,8/6/2024,50,EMP-00020,Ambient,None,8.906E+12,23.31,185x21x13
INV-0000054,WH-001,CNF Dubai Distribution Center,UAE,Dubai,SKU-ELE-8410-525,Electronics,TVs,7313,133,8902,3191.72,4510.65,23341048.36,4/12/2020,12/5/2025,3962,906,35,0.12,Damaged,Cold Zone,Cold Zone-1-1,BATCH-2023683,Asia Trade Partners,3/28/2023,-12,EMP-00175,Ambient,None,8.90951E+12,75.86,49x29x15
INV-0000055,WH-004,CNF Riyadh Distribution Center,Saudi Arabia,Riyadh,SKU-ELE-9372-765,Electronics,Laptops,7631,289,8438,3414.94,10213.64,26059407.14,1/19/2025,12/5/2025,38091,33008,679,4.33,Good,B1,B1-8-7,BATCH-2025891,Turkey Logistics,8/29/2025,-22,EMP-00014,Ambient,None,8.90454E+12,43.25,42x45x43
INV-0000056,WH-001,CNF Dubai Distribution Center,UAE,Dubai,SKU-ELE-3481-348,Electronics,Smartphones,1317,149,3701,2951.3,7588.48,3886862.1,9/6/2022,12/5/2025,12346,6280,111,4.77,Good,B2,B2-9-4,BATCH-2025595,China Export Hub,8/8/2025,39,EMP-00060,Ambient,None,8.90232E+12,33.52,156x23x5
INV-0000057,WH-002,CNF Abu Dhabi Distribution Center,UAE,Abu Dhabi,SKU-HOM-5623-219,Home & Garden,Furniture,2067,56,4363,3133.49,8726.61,6476923.83,6/10/2025,12/5/2025,26592,7309,138,3.54,Good,A1,A1-9-3,BATCH-2019132,Local Distributors,6/29/2025,7,EMP-00014,Ambient,None,8.90484E+12,19.15,176x64x44
INV-0000058,WH-010,CNF Doha Distribution Center,Qatar,Doha,SKU-FAS-9851-651,Fashion,Kids Clothing,3625,413,7621,883.16,1249.52,3201455,12/27/2020,12/5/2025,30111,20069,193,5.54,Quarantine,C2,C2-46-3,BATCH-2020232,Gulf Manufacturing,8/20/2023,-45,EMP-00284,Ambient,None,8.90191E+12,68.92,159x79x18
INV-0000059,WH-016,CNF Muscat Distribution Center,Oman,Muscat,SKU-HOM-1096-417,Home & Garden,Storage,9726,73,14454,2531.25,6255.67,24618937.5,10/16/2022,12/5/2025,9567,7280,329,0.75,Good,C2,C2-30-8,BATCH-2019649,Global Supply Co.,1/3/2025,-17,EMP-00299,Ambient,None,8.90826E+12,20.18,176x5x18
INV-0000060,WH-014,CNF Riffa Distribution Center,Bahrain,Riffa,SKU-SPO-2401-252,Sports & Outdoors,Swimming Gear,3358,191,6784,3401.91,8113.03,11423613.78,5/17/2023,12/5/2025,20687,2877,2,0.86,Good,High Value,High Value-30-5,BATCH-2024647,Global Supply Co.,10/21/2023,-45,EMP-00082,Ambient,None,8.90559E+12,53.93,65x90x49
INV-0000061,WH-003,CNF Sharjah Distribution Center,UAE,Sharjah,SKU-ELE-9252-214,Electronics,Tablets,1419,203,5817,1167.84,1516.3,1657164.96,3/11/2022,12/5/2025,3695,907,41,0.64,Good,High Value,High Value-3-9,BATCH-2019878,Gulf Manufacturing,6/6/2023,-6,EMP-00252,Ambient,None,8.90466E+12,50.33,66x78x31
INV-0000062,WH-012,CNF Al Khor Distribution Center,Qatar,Al Khor,SKU-ELE-7493-741,Electronics,TVs,783,475,3259,1304.84,2125.27,1021689.72,3/25/2024,12/5/2025,29532,27068,544,34.57,Good,Cold Zone,Cold Zone-36-9,BATCH-2024280,Turkey Logistics,9/17/2025,-36,EMP-00252,Ambient,None,8.90408E+12,19.81,199x85x25
INV-0000063,WH-015,CNF Muharraq Distribution Center,Bahrain,Muharraq,SKU-IND-7504-170,Industrial,Hardware,3817,447,5752,4525.72,8216.84,17274673.24,12/28/2025,12/5/2025,23648,3019,10,0.79,Good,D1,D1-36-8,BATCH-2022823,Global Supply Co.,12/29/2025,0,EMP-00299,Ambient,None,8.90182E+12,52.82,129x74x9
INV-0000064,WH-009,CNF Salmiya Distribution Center,Kuwait,Salmiya,SKU-AUT-4974-568,Automotive,Tires,6022,426,10448,386.83,933.91,2329490.26,5/8/2020,12/5/2025,30323,29090,91,4.83,Good,Cold Zone,Cold Zone-3-6,BATCH-2022353,China Export Hub,12/2/2020,36,EMP-00060,Ambient,None,8.90588E+12,55.05,189x82x32
INV-0000065,WH-014,CNF Riffa Distribution Center,Bahrain,Riffa,SKU-FAS-5487-535,Fashion,Accessories,1677,56,2067,1854.26,3241.85,3109594.02,12/3/2022,12/5/2025,289,60,2,0.04,Good,Hazmat Zone,Hazmat Zone-26-4,BATCH-2020679,India Trade Center,3/9/2023,44,EMP-00036,Ambient,None,8.90708E+12,31.36,54x50x36
INV-0000066,WH-011,CNF Al Wakrah Distribution Center,Qatar,Al Wakrah,SKU-FOO-4599-531,Food & Beverage,Dairy,622,303,2434,1970.65,4325.92,1225744.3,4/22/2022,6/25/2023,9733,613,12,0.99,Good,Cold Zone,Cold Zone-45-2,BATCH-2025879,China Export Hub,6/16/2024,-46,EMP-00274,-20°C,None,8.90146E+12,51.94,127x95x42
INV-0000067,WH-017,CNF Salalah Distribution Center,Oman,Salalah,SKU-FAS-2942-920,Fashion,Jewelry,7330,395,10947,258.45,722.77,1894438.5,6/17/2019,12/5/2025,2979,2356,73,0.32,Damaged,C2,C2-32-9,BATCH-2025136,Asia Trade Partners,10/31/2019,32,EMP-00020,Ambient,None,8.908E+12,72.46,12x54x7
INV-0000068,WH-003,CNF Sharjah Distribution Center,UAE,Sharjah,SKU-SPO-8317-667,Sports & Outdoors,Team Sports,7674,375,9376,384.01,622.07,2946892.74,4/28/2019,12/5/2025,46236,42009,376,5.47,Damaged,C2,C2-27-9,BATCH-2022475,Turkey Logistics,6/23/2023,-20,EMP-00294,Ambient,None,8.90911E+12,33.56,159x12x12
INV-0000069,WH-001,CNF Dubai Distribution Center,UAE,Dubai,SKU-SPO-2530-725,Sports & Outdoors,Sports Shoes,3323,145,8100,3715.46,4700.85,12346473.58,10/10/2022,12/5/2025,8165,4331,209,1.3,Recalled,Hazmat Zone,Hazmat Zone-49-5,BATCH-2023177,Local Distributors,4/28/2023,-44,EMP-00036,Ambient,None,8.90791E+12,32.64,177x14x27
INV-0000070,WH-007,CNF Kuwait City Distribution Center,Kuwait,Kuwait City,SKU-AUT-2447-303,Automotive,Exterior,1424,154,2139,2757.61,3717.32,3926836.64,1/17/2020,12/5/2025,47054,4056,181,2.85,Good,A2,A2-25-2,BATCH-2025674,Asia Trade Partners,6/19/2025,-25,EMP-00058,Ambient,None,8.9065E+12,89.81,49x22x35
INV-0000071,WH-008,CNF Hawalli Distribution Center,Kuwait,Hawalli,SKU-SPO-3743-387,Sports & Outdoors,Camping Gear,6299,155,6961,394.12,873.01,2482561.88,4/6/2023,12/5/2025,13523,7466,372,1.19,Good,Hazmat Zone,Hazmat Zone-34-4,BATCH-2022003,Euro Logistics,1/20/2024,7,EMP-00020,Ambient,None,8.90859E+12,12.08,11x68x46
